class,difficulty,Q1-Q12,Q13-Q28,overall_mean
2,3.56,3.346666666666667,3.6875,3.517083333333334
1,2.8214285714285716,3.2827380952380953,3.6398809523809526,3.4613095238095237
6,2.961038961038961,3.2153679653679657,3.565746753246753,3.3905573593073592
10,3.0277777777777777,3.340277777777778,3.379050925925926,3.359664351851852
11,3.4583333333333335,3.0752314814814814,3.5638020833333335,3.3195167824074074
12,2.8181818181818183,3.03030303030303,3.585227272727273,3.3077651515151514
7,3.9324324324324325,3.1081081081081074,3.4949324324324325,3.30152027027027
8,3.33920704845815,2.9317180616740095,3.4741189427312777,3.2029185022026434
9,3.215686274509804,2.9923747276688455,3.356617647058824,3.1744961873638347
5,3.541284403669725,2.964067278287462,3.3233944954128436,3.143730886850153
3,3.608040201005025,2.858877721943049,3.200690954773869,3.029784338358459
13,2.8461538461538463,2.750400641025641,3.1222956730769234,2.936348157051282
4,3.5441176470588234,2.4644607843137254,3.032169117647059,2.748314950980392
