,precision,recall,f1-score,support
1,0.450261780104712,0.27044025157232704,0.3379174852652259,318.0
2,0.17857142857142858,0.02570694087403599,0.0449438202247191,389.0
3,0.20080321285140562,0.1278772378516624,0.15625,391.0
4,0.1111111111111111,0.00510204081632653,0.00975609756097561,392.0
5,0.08519269776876268,0.2193211488250653,0.12271731190650109,383.0
6,0.12222222222222222,0.08461538461538462,0.1,390.0
7,0.05343511450381679,0.01832460732984293,0.02729044834307992,382.0
8,0.0,0.0,0.0,395.0
9,0.029850746268656716,0.005037783375314861,0.008620689655172414,397.0
10,0.20109689213893966,0.2770780856423174,0.2330508474576271,397.0
11,0.13592233009708737,0.03508771929824561,0.055776892430278883,399.0
12,0.16071428571428573,0.02278481012658228,0.03991130820399113,395.0
13,0.05693069306930693,0.058524173027989825,0.05771643663739021,393.0
14,0.06655948553054662,0.5267175572519084,0.11818441335997716,393.0
15,0.12244897959183673,0.015306122448979591,0.027210884353741496,392.0
16,0.02973977695167286,0.08040201005025126,0.04341926729986431,398.0
17,0.14285714285714285,0.005494505494505495,0.010582010582010581,364.0
18,0.22580645161290322,0.07446808510638298,0.112,376.0
19,0.2,0.016129032258064516,0.029850746268656716,310.0
20,0.09523809523809523,0.00796812749003984,0.014705882352941176,251.0
accuracy,0.09487008660892739,0.09487008660892739,0.09487008660892739,0.09487008660892739
macro avg,0.13343812231019664,0.09381928117276134,0.07749522709510766,7505.0
weighted avg,0.13004693555789718,0.09487008660892739,0.07677996058276447,7505.0
